h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
<<<<<<< HEAD
h,0.998377,1.7945,0.998377,1.7945,"{'att': 305, 'def': 19}","{'att': 128, 'def': 13}",6,7,1,3,0.6924,l,2021-05-19 18:00:00,0,0,1,0,-0.796123
a,0.772317,2.20348,0.772317,2.20348,"{'att': 335, 'def': 20}","{'att': 124, 'def': 23}",1,17,0,2,0.3992,l,2021-05-23 15:00:00,0,0,1,0,-1.4311629999999997
=======
a,0.321701,1.18709,0.321701,1.18709,"{'att': 355, 'def': 5}","{'att': 277, 'def': 42}",3,14,0,3,0.5141,l,2021-08-14 14:00:00,0,0,1,0,-0.865389
h,0.606313,0.712439,0.606313,0.712439,"{'att': 184, 'def': 20}","{'att': 237, 'def': 29}",5,6,0,0,1.2139,d,2021-08-21 14:00:00,0,1,0,1,-0.10612600000000005
a,1.67658,1.44748,1.67658,1.44748,"{'att': 169, 'def': 19}","{'att': 302, 'def': 27}",6,11,2,2,1.5829,d,2021-08-28 14:00:00,0,1,0,1,0.22909999999999986
h,2.89372,0.0775646,2.13255,0.0775646,"{'att': 169, 'def': 28}","{'att': 268, 'def': 21}",7,1,3,0,2.9736,w,2021-09-11 11:30:00,1,0,0,3,2.0549854
a,0.644168,2.76793,0.644168,2.76793,"{'att': 244, 'def': 12}","{'att': 155, 'def': 30}",8,8,0,3,0.1891,l,2021-09-18 14:00:00,0,0,1,0,-2.1237619999999997
h,1.36836,0.649566,0.607196,0.649566,"{'att': 365, 'def': 21}","{'att': 254, 'def': 23}",4,5,1,1,2.0753,d,2021-09-27 19:00:00,0,1,0,1,-0.04237000000000002
h,1.1703,1.04322,1.1703,1.04322,"{'att': 204, 'def': 30}","{'att': 317, 'def': 34}",13,1,2,2,1.4123999999999999,d,2021-10-03 13:00:00,0,1,0,1,0.12707999999999986
a,0.492239,1.7436,0.492239,1.7436,"{'att': 278, 'def': 13}","{'att': 321, 'def': 19}",3,10,2,2,0.40990000000000004,d,2021-10-18 19:00:00,0,1,0,1,-1.2513610000000002
h,2.25588,0.721813,2.25588,0.721813,"{'att': 87, 'def': 17}","{'att': 385, 'def': 15}",9,4,1,1,2.4970999999999997,d,2021-10-23 14:00:00,0,1,0,1,1.5340669999999998
a,1.05029,0.65739,1.05029,0.65739,"{'att': 317, 'def': 19}","{'att': 180, 'def': 25}",5,12,2,0,1.7303,w,2021-10-30 14:00:00,1,0,0,3,0.3928999999999999
h,2.65161,0.25416,2.65161,0.25416,"{'att': 199, 'def': 31}","{'att': 337, 'def': 21}",10,2,2,0,2.8632,w,2021-11-06 15:00:00,1,0,0,3,2.3974499999999996
a,1.74839,1.04224,1.74839,1.04224,"{'att': 143, 'def': 8}","{'att': 271, 'def': 23}",9,5,3,3,1.8903,d,2021-11-20 15:00:00,0,1,0,1,0.70615
<<<<<<< HEAD
>>>>>>> b1646b706b132aafb16430280ee99c285ac46b25
=======
h,0.962129,0.454305,0.962129,0.454305,"{'att': 181, 'def': 20}","{'att': 342, 'def': 13}",5,6,1,2,1.8546999999999998,l,2021-11-27 15:00:00,0,0,1,0,0.507824
a,0.707328,1.9818,0.707328,1.22063,"{'att': 278, 'def': 22}","{'att': 146, 'def': 38}",4,5,0,1,0.3847,l,2021-11-30 20:15:00,0,0,1,0,-0.5133020000000001
a,0.520593,0.870376,0.520593,0.870376,"{'att': 223, 'def': 15}","{'att': 189, 'def': 27}",3,13,0,1,0.9988,l,2021-12-05 14:00:00,0,0,1,0,-0.34978300000000007
h,2.09864,1.27556,2.09864,1.27556,"{'att': 130, 'def': 16}","{'att': 298, 'def': 31}",8,5,3,1,1.996,w,2021-12-12 16:30:00,1,0,0,3,0.82308
h,1.49244,0.625183,1.49244,0.625183,"{'att': 128, 'def': 24}","{'att': 248, 'def': 39}",4,2,2,2,2.1068,d,2021-12-15 19:30:00,0,1,0,1,0.867257
>>>>>>> 1a1e19be8244ea58a8ce15e8de46c5fd4f4c24ce
